"","site","upper","lower","PD","mean","CI_lower","CI_upper"
"1","all","alpha_all","alpha",0.920305555555556,19.4873733759074,-7.70087776989101,46.7285564337845
"2","A","alpha_all","alpha_site",0.907944444444444,18.6021957775231,-9.3585708334758,46.0159933870937
"3","B","alpha_all","alpha_site",0.899472222222222,18.3699539585736,-9.88974022754195,46.7064821959032
"4","C","alpha_all","alpha_site",0.935083333333333,21.8268518775809,-6.3681736344259,50.4864089900406
"5","D","alpha_all","alpha_site",0.921472222222222,19.8826616429766,-7.52797854932046,47.623605382017
"6","E","alpha_all","alpha_site",0.909583333333333,18.8584285733518,-8.80262889157837,46.8889605714872
"7","all","beta_all","beta_mass",0.700416666666667,0.488017547158485,-1.31704426126851,2.30047708865251
"8","A","beta_all","beta_mass_site",0.703694444444444,0.501630036595178,-1.33105131897125,2.36344653172006
"9","B","beta_all","beta_mass_site",0.661916666666667,0.3849263519788,-1.48075614238717,2.21532229675418
"10","C","beta_all","beta_mass_site",0.768944444444444,0.686731533472502,-1.13437942030707,2.54424740870016
"11","D","beta_all","beta_mass_site",0.696694444444444,0.48321485626947,-1.39907355764997,2.33781437847269
"12","E","beta_all","beta_mass_site",0.658222222222222,0.383453825832247,-1.54526720293228,2.26288627845744
